Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
1798946,BOTANY,2020-10-01 00:00:00,2020-10-01 15:11:00,645,87.4806800618238,Equipment fault
1798967,CONCORD,2020-10-01 00:00:00,2020-10-01 16:20:28,121,59.1267217630854,Equipment fault
1798988,CANTERBURY,2020-10-01 00:00:00,2020-10-01 17:36:14,80,103.766666666667,Environmental
1799024,CANTERBURY,2020-10-01 00:00:00,2020-10-01 22:43:00,83,151.826506024096,Equipment fault
1799068,GOSFORD,2020-10-02 00:00:00,2020-10-02 09:41:00,1499,135.041360907272,Equipment fault
1799187,MAITLAND,2020-10-02 00:00:00,2020-10-02 21:15:00,55,25.0,Equipment fault
1799242,RYDE,2020-10-03 00:00:00,2020-10-03 15:55:00,67,10.0,Equipment fault
1799255,RYDE,2020-10-03 00:00:00,2020-10-03 15:58:00,1117,48.9705619982159,Environmental
1799331,SUTHERLAND,2020-10-04 00:00:00,2020-10-04 16:42:00,2099,62.7962962962963,Equipment fault
1799348,HORNSBY,2020-10-05 00:00:00,2020-10-05 00:46:00,51,71.0,Environmental
1799351,HURSTVILLE,2020-10-05 00:00:00,2020-10-05 07:05:00,1092,53.0,Environmental
1799380,RYDE,2020-10-05 00:00:00,2020-10-05 12:43:00,58,377.0,Environmental
1799384,HORNSBY,2020-10-05 00:00:00,2020-10-05 12:50:00,68,137.0,Environmental
1799392,GOSFORD,2020-10-05 00:00:00,2020-10-05 14:22:00,82,67.209756097561,Environmental
1799403,MAITLAND,2020-10-05 00:00:00,2020-10-05 15:38:00,78,47.0,Equipment fault
1799433,PORT STEPHENS,2020-10-05 00:00:00,2020-10-05 20:05:00,90,147.769230769231,Environmental
1799444,HURSTVILLE,2020-10-05 00:00:00,2020-10-05 23:39:00,2084,89.0,Environmental
1799479,RANDWICK,2020-10-06 00:00:00,2020-10-06 08:30:40,75,139.333333333333,Cable dig
1799782,KU-RING-GAI,2020-10-07 00:00:00,2020-10-07 11:50:00,105,25.0,Equipment fault
1799778,WAVERLEY,2020-10-07 00:00:00,2020-10-07 11:52:25,64,97.5833333333333,Environmental
1799776,WARRINGAH,2020-10-07 00:00:00,2020-10-07 12:47:20,80,87.6666666666667,Equipment fault
1799889,WARRINGAH,2020-10-07 00:00:00,2020-10-07 19:40:00,93,15.0,Equipment fault
1799909,GOSFORD,2020-10-08 00:00:00,2020-10-08 06:16:00,62,204.0,Equipment fault
1799999,GOSFORD,2020-10-08 00:00:00,2020-10-08 11:37:00,77,58.0,Equipment fault
1800086,MUSWELLBROOK,2020-10-08 00:00:00,2020-10-08 17:45:00,214,59.1192660550459,Environmental
1800090,NORTH SYDNEY,2020-10-08 00:00:00,2020-10-08 18:02:59,63,67.0166666666667,Equipment fault
1800112,HURSTVILLE,2020-10-08 00:00:00,2020-10-08 21:19:00,2085,96.0,Environmental
1800119,HURSTVILLE,2020-10-08 00:00:00,2020-10-08 21:19:00,118,96.0,Equipment fault
1800126,GOSFORD,2020-10-08 00:00:00,2020-10-08 23:22:00,427,245.524590163934,Environmental
1800653,WYONG,2020-10-09 00:00:00,2020-10-09 03:30:00,486,24.8415637860082,Environmental
1800135,WILLOUGHBY,2020-10-09 00:00:00,2020-10-09 06:56:00,58,438.211494252874,Equipment fault
1800139,WILLOUGHBY,2020-10-09 00:00:00,2020-10-09 07:21:56,68,373.066666666666,Third party
1800251,RANDWICK,2020-10-09 00:00:00,2020-10-09 18:30:00,171,225.0,Environmental
1800341,RANDWICK,2020-10-10 00:00:00,2020-10-10 15:35:00,64,85.0,Equipment fault
1800396,SOUTH SYDNEY,2020-10-10 00:00:00,2020-10-10 21:18:00,162,1695.92592592593,Equipment fault
1800403,LAKE MACQUARIE,2020-10-11 00:00:00,2020-10-11 02:46:00,2084,7.22376617153809,Equipment fault
1800445,MUSWELLBROOK,2020-10-11 00:00:00,2020-10-11 17:43:00,57,298.0,Third party
1800456,HURSTVILLE,2020-10-11 00:00:00,2020-10-11 21:59:00,1031,135.383720930233,Environmental
1800472,PORT STEPHENS,2020-10-12 00:00:00,2020-10-12 05:52:00,958,152.508863399374,Environmental
1800508,MUSWELLBROOK,2020-10-12 00:00:00,2020-10-12 09:14:00,133,148.353383458647,Equipment fault
1800526,SUTHERLAND,2020-10-12 00:00:00,2020-10-12 09:48:00,870,80.1540229885057,Equipment fault
1801238,ROCKDALE,2020-10-12 00:00:00,2020-10-12 10:00:00,72,30.0,Equipment fault
1800539,MANLY,2020-10-12 00:00:00,2020-10-12 10:16:00,62,204.0,Third party
1800639,CANTERBURY,2020-10-12 00:00:00,2020-10-12 15:03:00,237,247.0,Equipment fault
